                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.26978,                 0.5252,                 1.0314,                0.73199,                0.85777,                0.85439,                0.81828,                0.40809,                0.48779,                 1.2063,              0.0004085,              0.0004085,              0.0004085
                     36,                0.26733,                 0.5233,                 1.0303,                0.73917,                0.76971,                0.82872,                0.79291,                0.46499,                0.54642,                 1.2544,             0.00038375,             0.00038375,             0.00038375
                     37,                0.26614,                0.50723,                 1.0277,                0.86839,                0.71035,                0.83151,                0.80909,                 0.4187,                0.62913,                 1.1749,               0.000359,               0.000359,               0.000359
                     38,                 0.2626,                0.50981,                 1.0194,                0.66694,                0.89314,                0.78202,                 0.7587,                0.39029,                0.50991,                 1.1829,             0.00033425,             0.00033425,             0.00033425
                     39,                0.25274,                0.50143,                 1.0121,                0.75774,                0.83078,                0.83766,                0.79476,                0.39331,                0.47797,                  1.191,              0.0003095,              0.0003095,              0.0003095
                     40,                  0.247,                 0.5102,                 1.0125,                0.76162,                 0.8579,                0.84159,                0.79801,                0.43814,                 0.4864,                 1.2333,             0.00028475,             0.00028475,             0.00028475
                     41,                 0.2246,                0.92792,                 1.0289,                0.81553,                0.86111,                0.87038,                0.84728,                0.48817,                0.59094,                 1.2267,                0.00026,                0.00026,                0.00026
                     42,                0.17495,                0.50529,                0.98423,                0.73191,                0.98333,                0.84926,                0.84235,                0.44535,                0.40295,                 1.1843,             0.00023525,             0.00023525,             0.00023525
                     43,                0.13746,                0.43573,                 0.9565,                0.79479,                0.81128,                0.85172,                0.79793,                0.39907,                0.46438,                 1.2036,              0.0002105,              0.0002105,              0.0002105
                     44,                0.13106,                0.43495,                0.94117,                 0.7012,                0.98724,                0.81182,                0.80633,                0.38154,                0.57127,                 1.1748,             0.00018575,             0.00018575,             0.00018575
                     45,                0.11139,                0.41147,                0.93726,                0.78209,                0.87487,                0.86118,                0.86059,                 0.3849,                0.37547,                 1.1733,               0.000161,               0.000161,               0.000161
                     46,                0.11098,                0.38196,                0.93822,                0.79382,                0.96757,                 0.8917,                0.88996,                0.36915,                0.42488,                 1.1755,             0.00013625,             0.00013625,             0.00013625
                     47,                0.10842,                0.38114,                 0.9308,                 0.7964,                0.88975,                0.87407,                0.86155,                0.34829,                0.33999,                 1.1982,              0.0001115,              0.0001115,              0.0001115
                     48,                0.10178,                0.36277,                  0.928,                0.78125,                0.99074,                 0.8968,                0.88018,                0.37216,                0.41644,                 1.2102,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                 0.0989,                 0.3585,                0.93089,                 0.7924,                0.93148,                0.89621,                 0.8545,                0.36064,                0.31786,                 1.2088,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.08967,                0.35577,                0.94022,                0.87307,                0.88889,                0.90455,                0.90203,                0.35725,                  0.316,                 1.1796,              3.725e-05,              3.725e-05,              3.725e-05
